,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,Clean & quiet apt home by the park,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,10/19/2018,0.21,6,365
1,Skylit Midtown Castle,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,5/21/2019,0.38,2,355
2,THE VILLAGE OF HARLEM....NEW YORK !,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,,0.0,1,365
3,Cozy Entire Floor of Brownstone,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,7/5/2019,4.64,1,194
4,Entire Apt: Spacious Studio/Loft by central park,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,11/19/2018,0.1,1,0
5,Large Cozy 1 BR Apartment In Midtown East,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,6/22/2019,0.59,1,129
6,BlissArtsSpace!,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,10/5/2017,0.4,1,0
7,Large Furnished Room Near B'way ,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,6/24/2019,3.47,1,220
8,Cozy Clean Guest Room - Family Apt,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,7/21/2017,0.99,1,0
9,Cute & Cozy Lower East Side 1 bdrm,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,6/9/2019,1.33,4,188
10,Beautiful 1br on Upper West Side,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,6/22/2019,0.43,1,6
11,Central Manhattan/near Broadway,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,6/23/2019,1.5,1,39
12,"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,6/24/2019,1.34,3,314
13,Wonderful Guest Bedroom in Manhattan for SINGLES,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,7/5/2019,0.91,1,333
14,West Village Nest - Superhost,Alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,10/31/2018,0.22,1,0
15,Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,6/29/2019,1.2,1,46
16,Perfect for Your Parents + Garden,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,6/28/2019,1.72,1,321
17,Chelsea Perfect,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,7/1/2019,2.12,1,12
